title,artist,duration
I Didn't Mean To,Casual,218.93179
Soul Deep,The Box Tops,148.03546
Amor De Cabaret,Sonora Santanera,177.47546
Something Girls,Adam Ant,233.40363
Face the Ashes,Gob,209.60608
The Moon And I (Ordinary Day Album Version),Jeff And Sheri Easter,267.7024
Keepin It Real (Skit),Rated R,114.78159
Drop of Rain,Tweeterfriendly Music,189.57016
Pink World,Planet P Project,269.81832
Insatiable (Instrumental Version),Clp,266.39628
Young Boy Blues,JennyAnyKind,218.77506
The Urgency (LP Version),Wayne Watson,245.21098
La Culpa,Andy Andy,226.35057
Auguri Cha Cha,Bob Azzam,191.84281
Tonight Will Be Alright,Lionel Richie,307.3824
Floating,Blue Rodeo,491.12771
High Tide,Richard Souther,228.5971
Sohna Nee Sohna Data,Faiz Ali Faiz,599.24853
Caught In A Dream,Tesla,290.29832
Synthetic Dream,lextrical,165.69424
Broken-Down Merry-Go-Round,Jimmy Wakely,151.84934
Kassie Jones,Alice Stuart,220.78649
Setanta matins,Elena,269.58322
Setting Fire to Sleeping Giants,The Dillinger Escape Plan,207.77751
James (Hold The Ladder Steady),SUE THOMPSON,124.86485
Made Like This (Live),Five Bolt Main,225.09669
Superconfidential,Clp,338.31138
I Think My Wife Is Running Around On Me (Taco Hell),Tim Wilson,186.48771
Spanish Grease,Willie Bobo,168.25424
Crazy Mixed Up World,Faye Adams,156.39465
Do You Finally Need A Friend,Terry Callier,342.56934
The Emperor Falls,John Wesley,484.62322
Twist and Shout,The Shangri-Las,164.80608
It Makes No Difference Now,Billie Jo Spears,133.32853
Laws Patrolling (Album Version),Mike Jones (Featuring CJ_ Mello & Lil' Bran),173.66159
¿Dónde va Chichi?,Sierra Maestra,313.12934
"Barking Dogs (From ""Piouhgd"")",Butthole Surfers,450.84689
OUTE ENA EFHARISTO,Despina Vandi,303.09832
Midnight Swim,Javier Navarrete,128.83546
In A Subtle Way,Jacob Young,456.30649
Spin,Scarlet's Remains,198.73914
Burning In The Aftermath,The Suicide Machines,95.68608
Angie (1993 Digital Remaster),The Rolling Stones,271.49016
Sabor Guajiro,Roberto Torres,226.66404
Human Cannonball,Loudon Wainwright III,190.48444
Glory Be,R.L. Burnside,277.78567
Crossfire,Stevie Ray Vaughan,248.78975
I Can't Be Satisfied,John Hammond,195.3171
Nashville Parthenon,Casiotone For The Painfully Alone,175.72526
Cocain Ducks,Ec8or,217.23383
Human Being,The New York Dolls,344.05832
The More I See You,Eliane Elias,251.42812
Certain Things We Do,Lost Boyz,269.7922
Forming,The Germs,206.05342
Mafuá,Yamandu Costa,190.04036
Driving Home For Christmas,Chris Rea,241.162
Spooks In Space,Perrey And Kingsley,122.64444
Tous Les Garçons Et Les Filles,Eurythmics,207.0722
Too Much Saturn,Francis Dunnery,300.79955
Movement 4 [from Kiss] (Album Version),John Cale,228.46649
Stream,Suzanne Ciani,239.59465
Make Me Over,Vickie Winans,228.93669
Deform (live),The Berzerker,165.61587
Wicker Chair,Kings Of Leon,187.92444
An ti chans',Edith Lefel,276.50567
I Will Love Again (JJ's Club Radio),Taras,200.25424
Stickin In My Eye,NOFX,144.50893
Ota kiinni,Murskahumppa,285.17832
Entre Caníbales,Soda Stereo,246.69995
Rosemary Recalls,Bruce Rowland,84.03546
Sudanese Dance,Xcultures,273.52771
Where The Thunder Roars (Tales Of Wonder Album Version),White Heart,298.84036
Wanna Be A Player,Heavy D / McGruff,161.38404
Panama (Remastered Album Version),Van Halen,209.29261
Let's Get It Started,Black Eyed Peas,229.61587
Metal,Nine Inch Nails,426.89261
She Fell Away (2009 Digital Remaster),Nick Cave & The Bad Seeds,269.26975
Next Time,Nadine Renee,249.41669
It's My Party,Lesley Gore,136.48934
Complicate It,Smartbomb,233.27302
Monde De Fou,Suburbs,187.24526
Opus a Satana (Part 2),Emperor,72.61995
This Melody (Live),Julien Clerc,272.63955
I'm Gone This Time,Glen Campbell,142.75873
You Feel Good All Over,T.G. Sheppard,194.11546
Indian Love Call,Slim Whitman,195.91791
You Can Still Be Free,Savage Garden,118.33424
I Never Came,Queens Of The Stone Age,288.41751
Dixie,Hank Penny & The Lincoln Penny Orchestra,123.21914
Commercial Reign,Inspiral Carpets,283.76771
Hourglass,Borialis,239.3073
Wake,The Dirty Skirts,206.75873
Caricia Y Herida,Flor Silvestre,134.81751
Le tortillard,Bézu,285.64853
WKYA (drop),Redman,124.18567
Teräslintu,Solistiyhtye Suomi,134.08608
Now's The Time To Fall In Love,Eddie Cantor,155.61098
Grim Prospects (Gross Prospects - Bad Trip Remix),Schizoid,275.40853
Mangos,Kai Winding,223.4771
A Distant Voice,Sonny Simmons,443.24526
Openbare Weg,Mira,177.81506
President Johnson,Citizen Kaned,385.33179
Lead Me Lord,The Brooklyn Tabernacle Choir,324.44036
Spontanous Combustion,Ellen McIlwaine,275.12118
Choro,Vince Guaraldi / Bola Sete,294.66077
Ma Louise,Maurice Chevalier,193.20118
I Want You (Forever),Carl Cox Vs Yousef,357.82485
Hate,Organized Konfusion,198.3473
I Can't Stop Loving You,Martina McBride,261.95546
Thank You Lord,Horace Andy,176.27383
How Can You Call That Beautiful (Stewkey Vocal),Nazz,220.89098
Cheatin' In The Next Room,Tyrone Davis,235.91138
Candy Man,Hot Tuna,239.59465
I See The Boys Of Summer,Richard Burton,171.49342
Three Is a Crowd,Rory Block,266.05669
On Bended Knee,Boyz II Men,329.27302
My Four Reasons,Howard Armstrong,198.922
Little Girl (LP Version),Donny Hathaway,283.21914
Eternamente Amame,Miguel Gallardo,238.68036
Niev nietch nievitch,Les Ogres De Barback,254.06649
Come Over,DJ X-Change featuring DJ Joey A,184.31955
Blue Taxi,Morel,311.40526
I Want Love (Tween You & Me) (Album Version),Tony Joe White,162.53342
White Feather,Wolfmother,212.37506
Christlike Roche,The Roches,338.33751
You Rascal You,Bob Margolin,126.51057
Sympathy,Thomas Battenstein,205.58322
They Say (Album),Jupiter Rising,193.4624
Simon's Folly,Dharma Bums,127.4771
Crawl Before You Ball (Album Version),Saafir,234.762
Medicate Myself,The Verve Pipe,292.8322
Biding Her Time,Bob Neuwirth,241.10975
More And More  (LP Version),Marvin Sapp,270.68036
Cowboy Ways,James Hunter,188.73424
Brasas Vivas,Nelson Ned,211.80036
Kolomeyke,Mish Mash,254.32771
In This Life,Cama,210.36363
Groovin' In The Midnight,Maxi Priest,301.81832
Waiting,Porcupine Tree,416.80934
A'chek Ouyounik (2009 Digital Remaster),Ragheb Alama,413.36118
Hell,Foo Fighters,117.002
Hips Don't Lie (featuring Wyclef Jean),Shakira Featuring Wyclef Jean,217.36444
Juoksuhauta-twist (Elämä juoksuhaudoissa),The Avengers,122.72281
I Got Over It (Album Version),Robben Ford,203.98975
One Less Bell To Answer,Brazilian Tropical Orchestra,192.44363
Festa,Gil Semedo,285.36118
Te Hacen Falta Vitaminas,Soda Stereo,225.12281
Sense And Trick,Xmilk,123.66322
Fire (Oscar G Space Vocal Mix),Dolce; Oscar G.,525.16526
Hanging On (Medium Key Performance Track Without Background Vocals),Britt Nicole,204.06812
Grim Prospects (Version 2 Remix),Schizoid,166.00771
Christmas In Jamaica,Toni Braxton Featuring Shaggy,219.01016
Gossippo Perpetuo,Perrey And Kingsley,127.9473
2190 Dias Contigo,Sven Tasnadi,570.90567
No Control,Eddie,230.00771
The Vitalized Shell,Enthroned,240.74404
Mozart,Suzanne Ciani,192.20853
Ciao Milan,Milan Band,152.0322
Lend Me Your Chopper,Johnny Osbourne,215.30077
Letter To Heaven,Dolly Parton,155.21914
Heaven is Where The Heart Is,Rance Allen Group,207.12444
Inside Job,Pearl Jam,428.56444
Take A Look  (LP Version),Natalie Cole,185.7824
The Czar: Usurper/Escape/Martyr/Spiral (Album Version),Mastodon,654.28853
Bulgarian Dream,Kiril Valeri,306.72934
Amalgama,Word,229.51138
Born and Raised In Compton,DJ Quik,205.58322
We're Gonna Go Fishin',Hank Locklin,127.05914
Robbers Kill Cop,BT,44.35546
Relax,2-4 Grooves feat. Reki D.,203.83302
Sweet By And By,The Jordanaires,176.50893
Orgofart,Descendents,140.66893
Bitch Is Back,L.A. Guns,201.09016
Naked Albino,Bare Jr.,254.79791
Johnny Loves Me (LP Version),Shelley Fabares,143.0722
Dearly Beloved,Norrie Paramor,163.49995
The Look Of Love,Gary Hobbs,289.64526
Cooler Than You,Diesel Boy,124.15955
Taryns Deepest Fear,Angelo Badalamenti,167.3922
Summer Dying Fast,Cradle Of Filth,321.35791
Still,Jim Chappell,263.94077
Snapshot,Ladybug,341.36771
End Of The Road (Head Hornys Remix),Bandido,333.13914
7 Miles,Brixx,349.12608
The Frail,Nine Inch Nails,168.56771
Para Milladoiro,Susana Seivane,350.71955
Stone Cold Fingers (Bonus Track),Leland Martin,175.62077
Snowball,Test Icicles,190.24934
(We Don't Need This) Fascist Groove Thang,Heaven 17,255.16363
Drunk Alone,React,120.2673
Charisma,Sven Tasnadi,557.26975
Going Down Slow,Mance Lipscomb,187.53261
All Rise,Scott Wesley Brown,295.60118
Jogo Limpo,Flávio José,252.02893
Silent Hill,Moss,329.35138
Our Love Is Here To Stay,Pery Ribeiro,180.00934
Everything Changes,Soular,244.45342
Master Of Disharmony,Dimmu Borgir,282.53995
(This Is Not A) Love Song (Live),Public Image Ltd,388.28363
What Are We Here For,Gary Moore,345.93914
Une petite pause,Pascal Sangla,243.1473
Wig,The B-52's,261.74649
Perasmena Mesanihta,Dakis,172.25098
God Save the Queen (Live),Sex Pistols,216.60689
Forever,Chris Brown,363.59791
Sun Is Shining,Deekline & Wizard,271.77751
New Age,Daniela Dessì,330.65751
Have Yourself A Merry Little Christmas,Hem,133.27628
U Killed It,Lily Allen,264.69832
Rain And Snow,Pentangle,228.51873
Gerra De De,DJ Dips,240.3522
Kako mi je pitas sad,Ana Bekuta,145.57995
Voices On The Corner,Jason Miles,235.80689
(Bloody Paw On The) Kill Floor,Busdriver,192.1824
I Wish My Mother Was Here,Byther Smith,418.87302
Inolvidable,Bebo & Cigala,198.26893
Miracle,Bizarre Inc,420.10077
Witch Weed (Live),Bongzilla,397.26975
Not Buried Deep Enough,The Gone Jackals,229.79873
Give Me 40 Acres (To Turn This Rig Around),The Willis Brothers,150.64771
Ernesto Nazareth,Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd,286.14485
The Cube (Live),S.U.P,384.70485
Get Back Down,Boogie Pimps,415.03302
Battle Of The Rosebud / Cries,Brian Keane,133.53751
Beyond the Light,Aberdeen,266.70975
Spaceman,The Killers,284.3424
Pulecenella 'e mò,Gloriana,179.06893
Iskorosten' (instr.),Butterfly Temple,100.5971
Big Stax/High Volts (Album Version),Grant Geissman,320.60036
It Goes On,20/20,302.36689
Pecado De Amor,José Augusto,284.70812
Illuminate,Orbital,327.8624
Never Forget Me,Bone Thugs-N-Harmony / Akon,286.30159
Ukkosenjumalan poika,Moonsorrow,356.49261
A B***** Is A B***** (Edited),N.W.A.,168.75057
Kick Out The Jams,Rage Against The Machine,201.56036
Me And My Buddy,Jazz Gillum,185.67791
Amber Changing,Rise Against,218.8273
Murder Academy,Ultraviolence,303.04608
Hey Daddy,Korn,224.522
4 Sea Interludes Op. 33a: Storm,Sir Neville Marriner,315.27138
I Need You Now,Agnes,275.06893
Atmosphere Station,James Horner,191.81669
Walk Away,Tantric,177.24036
Shadows That Move,Mastodon,233.58649
Smile,Xcultures,38.3473
Mountains Of Mourne,The Irish Tenors,100.85832
Kite Live from Sydney,U2,485.19791
Loco (Crazy),Little Joe,239.01995
Ever Be,Korn,288.49587
Oh Look Misery,Blind Blake & The Royal Victoria Hotel Calypsos,151.53587
Yesterdays,Percy Faith,160.28689
Teacher's Pet,Extreme,181.55057
Palmer enquête,Alexandre Desplat,70.26893
Go To Hell,Prozak,173.24363
Moon River - Original,Jerry Butler,155.74159
La Plus Bath Des Javas,Yvette Horner,148.03546
Infidel,Delta 9,94.06649
English Summer Rain,Placebo,241.52771
Spanish Shuffle (Album Version),Tam Tam Go!,226.82077
Intro,Gertrudis,106.52689
Empress So Divine,Warrior King,224.28689
Terapia De Amor Intensiva,Soda Stereo,340.29669
Haunting,LORE,216.55465
Lies Of Hate,Soul Asylum,279.2224
The First Noel,Carl Doy with NZSO,158.56281
Musical Episode,Horace Andy,234.44853
Beautiful Brown eyes,Jimmy Wakely,155.95057
Drop the Bass,The Nightraver & The Magican,233.53424
The Last Word (Amended Version),Rah Digga (Featuring Outsidaz),256.80934
Hard Times,RUN-DMC,234.65751
Just As Much As Ever,Bert Kaempfert And His Orchestra,163.76118
Filipino Baby,Hank Locklin,159.03302
The Boss,Lady May,214.04689
Escapist,Nightwish,301.06077
Jeffrey's Dark Side,Angelo Badalamenti,109.37424
Someone to Watch Over Me,Frank Chacksfield,151.82322
Milagre Dos Peixes/ Musica Incidental: Cais/ Music Incidental: San Vicente,Cesar Camargo Mariano/Helio Delmiro,287.11138
Pinned To The Ground (album version),Buzzhorn,239.98649
Always And Never (Album Version),Silverstein,229.642
Myth Takes,!!!,143.98649
Carpe PM,The Secret Life of Teenage Girls,153.20771
Who Shot Ya (Amended Album Version),The Notorious B.I.G.,316.65587
Poor Tom (Album Version),Led Zeppelin,182.09914
Wounded Hearts,Sandi Thom,205.21751
Love's Been Good To Me,Carl Belew,131.05587
When Morning Comes To Town,The Field Mice,316.73424
Estate,Billy Higgins_ Bob Berg_ Cedar Walton_ Tony Dumas,431.64689
Freedom Enough (From Silent Mother Nature),Catherine Howe,183.37914
Hai Shava,Malkit Singh,324.51873
Nutty Block,Rodney O & Joe Cooley,172.01587
